mais, 54, 0.0216916
тихо, 54, 0.0216916
тельство, 54, 0.0216916
гостиную, 54, 0.0216916
понимаю, 54, 0.0216916
такие, 54, 0.0216916
p, 53, 0.0212899
душе, 53, 0.0212899
дальше, 53, 0.0212899
du, 53, 0.0212899
qu, 53, 0.0212899
дюшка, 53, 0.0212899
сидела, 53, 0.0212899
командир, 53, 0.0212899
посмотрел, 53, 0.0212899
сторон, 52, 0.0208882
вышла, 52, 0.0208882
петербурге, 52, 0.0208882
могли, 52, 0.0208882
любовь, 52, 0.0208882
вечера, 52, 0.0208882
письма, 52, 0.0208882
никола, 52, 0.0208882
радостно, 51, 0.0204865
лошадей, 51, 0.0204865
штаб, 51, 0.0204865
поспешно, 51, 0.0204865
почему, 51, 0.0204865
встал, 51, 0.0204865
отвечала, 51, 0.0204865
боже, 51, 0.0204865
которому, 51, 0.0204865
самого, 51, 0.0204865
рад, 51, 0.0204865
смотрела, 50, 0.0200848
мной, 50, 0.0200848
нею, 50, 0.0200848
сн, 50, 0.0200848
оба, 50, 0.0200848
насто, 50, 0.0200848
сколько, 50, 0.0200848
пока, 50, 0.0200848
платье, 50, 0.0200848
зна, 50, 0.0200848
чуть, 50, 0.0200848
вокруг, 49, 0.0196831
сюда, 49, 0.0196831
сражени, 49, 0.0196831
имел, 49, 0.0196831
хотелось, 49, 0.0196831
хоз, 49, 0.0196831
маленька, 49, 0.0196831
слезы, 49, 0.0196831
звуки, 49, 0.0196831
другое, 49, 0.0196831
государю, 49, 0.0196831
ними, 49, 0.0196831
засме, 49, 0.0196831
лет, 49, 0.0196831
мысли, 48, 0.0192814
смотрели, 48, 0.0192814
сел, 48, 0.0192814
всё, 48, 0.0192814
император, 48, 0.0192814
слышал, 48, 0.0192814
спросила, 47, 0.0188797
tout, 47, 0.0188797
comme, 47, 0.0188797
батюшка, 47, 0.0188797
дочери, 47, 0.0188797
оно, 47, 0.0188797
адъютант, 47, 0.0188797
бывает, 47, 0.0188797
заметил, 47, 0.0188797
думать, 47, 0.0188797
каким, 47, 0.0188797
иль, 46, 0.0184781
сердито, 46, 0.0184781
положение, 46, 0.0184781
cher, 46, 0.0184781
plus, 46, 0.0184781
ожида, 46, 0.0184781
должны, 46, 0.0184781
мост, 46, 0.0184781
де, 46, 0.0184781
молодого, 46, 0.0184781
старого, 46, 0.0184781
шепотом, 46, 0.0184781
дел, 45, 0.0180764
деле, 45, 0.0180764
никого, 45, 0.0180764
графини, 45, 0.0180764
собою, 45, 0.0180764
повтор, 45, 0.0180764
ближе, 45, 0.0180764
on, 45, 0.0180764
просто, 45, 0.0180764
скажу, 45, 0.0180764
москву, 45, 0.0180764
хоть, 45, 0.0180764
наши, 45, 0.0180764
si, 45, 0.0180764
полковой, 45, 0.0180764
спокойно, 45, 0.0180764
послышалс, 45, 0.0180764
однако, 45, 0.0180764
любил, 44, 0.0176747
коли, 44, 0.0176747
шел, 44, 0.0176747
обеда, 44, 0.0176747
легко, 44, 0.0176747
желал, 44, 0.0176747
мама, 44, 0.0176747
говорите, 44, 0.0176747
глазах, 44, 0.0176747
гусар, 44, 0.0176747
столь, 44, 0.0176747
мало, 44, 0.0176747
жены, 44, 0.0176747
одну, 44, 0.0176747
напротив, 44, 0.0176747
господа, 44, 0.0176747
брата, 44, 0.0176747
узнал, 44, 0.0176747
сзади, 44, 0.0176747
богу, 44, 0.0176747
хочет, 44, 0.0176747
dans, 44, 0.0176747
графу, 43, 0.017273
места, 43, 0.017273
страшно, 43, 0.017273
прошу, 43, 0.017273
сторону, 43, 0.017273
сидели, 43, 0.017273
стола, 43, 0.017273
повторил, 43, 0.017273
спрашивал, 43, 0.017273
такого, 43, 0.017273
месте, 43, 0.017273
отча, 43, 0.017273
другого, 43, 0.017273
самых, 43, 0.017273
середине, 43, 0.017273
деньги, 43, 0.017273
марье, 42, 0.0168713
мысль, 42, 0.0168713
ипполит, 42, 0.0168713
своею, 42, 0.0168713
последнее, 42, 0.0168713
петербург, 42, 0.0168713
оруди, 42, 0.0168713
ночь, 42, 0.0168713
скорее, 42, 0.0168713
французы, 42, 0.0168713
мес, 41, 0.0164696
слушал, 41, 0.0164696
большой, 41, 0.0164696
здоровье, 41, 0.0164696
успел, 41, 0.0164696
видал, 41, 0.0164696
тушин, 41, 0.0164696
офицера, 41, 0.0164696
зем, 41, 0.0164696
дочь, 41, 0.0164696
анны, 41, 0.0164696
именно, 41, 0.0164696
равно, 41, 0.0164696
слов, 41, 0.0164696
жне, 41, 0.0164696
русские, 41, 0.0164696
